Model,ModelVariant,PartNumber,Availability
What’s new in 2020,199.00,SAT5013,No
What’s new in 2020,199.00,SAT5013,No
What’s new in 2020,199.00,SAT5014,No
What’s new in 2020,199.00,SAT5014,No
What’s new in 2020,199.00,SAT5015,No
What’s new in 2020,199.00,SAT5015,No
MY20 Liberty sedan,2.5i,J1010AL310,No
MY20 Liberty sedan,2.5P,J1010AL310,Yes
MY20 Liberty sedan,3.6R,J1010AL310,Yes
MY20 Liberty sedan,2.5i,J1010AL310K,No
MY20 Liberty sedan,2.5P,J1010AL310K,No
MY20 Liberty sedan,3.6R,J1010AL310K,Yes
MY20 Liberty sedan,2.5i,B3110VA500K,Yes
MY20 Liberty sedan,2.5P,B3110VA500K,Yes
MY20 Liberty sedan,3.6R,B3110VA500K,Yes
MY20 Liberty sedan,2.5i,B3110VA600K,Yes
MY20 Liberty sedan,2.5P,B3110VA600K,Yes
MY20 Liberty sedan,3.6R,B3110VA600K,Yes
MY20 Liberty sedan,2.5i,J101AAL010,No
MY20 Liberty sedan,2.5P,J101AAL010,Yes
MY20 Liberty sedan,3.6R,J101AAL010,Yes
MY20 Liberty sedan,2.5i,F0010AL700,Yes
MY20 Liberty sedan,2.5P,F0010AL700,Yes
MY20 Liberty sedan,3.6R,F0010AL700,Yes
MY20 Liberty sedan,2.5i,J1010AL001NN,No
MY20 Liberty sedan,2.5P,J1010AL001NN,Yes
MY20 Liberty sedan,3.6R,J1010AL001NN,Yes
MY20 Liberty sedan,2.5i,J1010AL101NN,No
MY20 Liberty sedan,2.5P,J1010AL101NN,No
MY20 Liberty sedan,3.6R,J1010AL101NN,Yes
MY20 Liberty sedan,2.5i,J1010AL024NN,Yes
MY20 Liberty sedan,2.5P,J1010AL024NN,Yes
MY20 Liberty sedan,3.6R,J1010AL024NN,Yes
MY20 Liberty sedan,2.5i,F4110SG000,Yes
MY20 Liberty sedan,2.5P,F4110SG000,Yes
MY20 Liberty sedan,3.6R,F4110SG000,Yes
MY20 Liberty sedan,2.5i,J5010AL000,Yes
MY20 Liberty sedan,2.5P,J5010AL000,Yes
MY20 Liberty sedan,3.6R,J5010AL000,Yes
MY20 Liberty sedan,2.5i,J5010AL100,Yes
MY20 Liberty sedan,2.5P,J5010AL100,Yes
MY20 Liberty sedan,3.6R,J5010AL100,Yes
MY20 Liberty sedan,2.5i,J1010AL600##,Yes
MY20 Liberty sedan,2.5P,J1010AL600##,Yes
MY20 Liberty sedan,3.6R,J1010AL600##,Yes
MY20 Liberty sedan,2.5i,J1010AL600NN,Yes
MY20 Liberty sedan,2.5P,J1010AL600NN,Yes
MY20 Liberty sedan,3.6R,J1010AL600NN,Yes
MY20 Liberty sedan,2.5i,SAT2017,Yes
MY20 Liberty sedan,2.5P,SAT2017,Yes
MY20 Liberty sedan,3.6R,SAT2017,Yes
MY20 Liberty sedan,2.5i,SAT6003,Yes
MY20 Liberty sedan,2.5P,SAT6003,Yes
MY20 Liberty sedan,3.6R,SAT6003,Yes
MY20 Liberty sedan,2.5i,L101AAL012,Yes
MY20 Liberty sedan,2.5P,L101AAL012,Yes
MY20 Liberty sedan,3.6R,L101AAL012,Yes
MY20 Liberty sedan,2.5i,J501AAL100,Yes
MY20 Liberty sedan,2.5P,J501AAL100,Yes
MY20 Liberty sedan,3.6R,J501AAL100,Yes
MY20 Liberty sedan,2.5i,SAT3011,Yes
MY20 Liberty sedan,2.5P,SAT3011,Yes
MY20 Liberty sedan,3.6R,SAT3011,Yes
MY20 Liberty sedan,2.5i,SAT8023,Yes
MY20 Liberty sedan,2.5P,SAT8023,Yes
MY20 Liberty sedan,3.6R,SAT8023,Yes
MY20 Liberty sedan,2.5i,SAT8024,Yes
MY20 Liberty sedan,2.5P,SAT8024,Yes
